ID,Composant,Type,Vulnérabilité,Confiance,Sévérité,Impact,Preuve (capture),OWASP,CWE,Recommandation,Statut
V1,PostLogin,Activity,Activité exportée sans permission — bypass authentification,Élevée,Critique,Accès dashboard bancaire sans login,09_activity_info.png,M1,CWE-926,android:exported=false + vérification session dans onCreate(),À corriger
V2,DoTransfer,Activity,Activité exportée sans permission — virement sans auth,Élevée,Critique,Virement bancaire frauduleux sans authentification,09_activity_info.png,M1,CWE-926,android:exported=false + vérification session dans onCreate(),À corriger
V3,ChangePassword,Activity,Activité exportée sans permission — changement MDP sans auth,Élevée,Critique,Prise de contrôle de compte (account takeover),09_activity_info.png,M1,CWE-926,android:exported=false + vérification session dans onCreate(),À corriger
V4,TrackUserContentProvider,Provider,Content Provider sans permission en lecture et écriture,Élevée,Critique,Lecture/modification données utilisateur via URI /trackerusers,10_service_broadcast_provider_info.png + 13_scanner_provider_finduris.png,M2,CWE-284,Définir readPermission et writePermission + exported=false,À corriger
V5,ViewStatement,Activity,Activité exportée sans permission — relevés sans auth,Élevée,Élevée,Fuite données financières sans authentification,09_activity_info.png,M1,CWE-926,android:exported=false + vérification session dans onCreate(),À corriger
V6,MyBroadCastReceiver,Receiver,Broadcast Receiver sans permission — action theBroadcast,Élevée,Élevée,Exfiltration de credentials par SMS vers numéro attaquant,10_service_broadcast_provider_info.png,M1,CWE-925,android:exported=false + LocalBroadcastManager,À corriger
V7,android.permission.SEND_SMS,Permission,Permission SEND_SMS exploitée par MyBroadCastReceiver,Élevée,Élevée,Envoi SMS exfiltrant le mot de passe bancaire,08_package_info_permissions.png,M9,CWE-250,Supprimer si non justifié ou restreindre au receiver interne,À corriger
V8,targetSdkVersion=22,Manifeste,SDK cible obsolète (Android 5.1 / 2015) — protections modernes absentes,Élevée,Moyen,Protections Android 6+ non appliquées (permissions runtime etc.),11_manifest_part1.png,M9,CWE-489,Mettre à jour targetSdkVersion à 34 minimum,À corriger
V9,READ_CALL_LOG + READ_PHONE_STATE,Permission,Permissions dangereuses sans justification fonctionnelle visible,Moyenne,Moyen,Accès à l'historique d'appels et l'identifiant téléphonique,08_package_info_permissions.png,M9,CWE-250,Supprimer du manifeste si non utilisées,À analyser
V10,LoginActivity,Activity,Activité principale exportée (entry point légitime),Élevée,Faible,Point d'entrée normal — pas d'exploitation directe,09_activity_info.png,M1,CWE-926,Conserver — vérifier absence de bypass via intent extras,À surveiller
